,infected,dead,infected_min,infected_max,dead_min,dead_max
34,397,19,154.96493140229902,640.960698143874,9.969662462575553,28.528159249661204
35,420,21,164.40388826145187,675.9432741690343,11.119232121560131,31.785923937964284
36,442,23,173.95475381031866,711.4987476555273,12.346726857904144,35.255501522580865
37,465,26,183.60644584969128,747.6084499871799,13.652581802317183,38.937274684238616
38,488,28,193.34869853153333,784.2516909202059,15.036764529345653,42.830664428030786
39,512,31,203.17204881423595,821.4058187848129,16.498753239249517,46.93409549858774
40,536,34,213.06780924725325,859.0462975288251,18.037523214284604,51.24496253802921
41,560,37,223.02802876869862,897.1467988120065,19.651541695772398,55.759597564093255
42,584,40,233.0454432763654,935.679307271799,21.33877093765233,60.47323966639722
43,608,44,243.1134177607189,974.6142370419923,23.09667883472227,65.38000809701614
44,633,47,253.2258817748862,1013.9205576088582,24.922256222631788,70.47288014496574
45,658,51,263.3772599689432,1053.5659271266625,26.81203972051036,75.74367531491596
46,683,54,273.562399340745,1093.5168313797483,28.762138848292356,81.18304736703803
47,708,58,283.7764947595367,1133.7387266650287,30.768266104548402,86.78048571309081
48,734,62,294.01501420718,1174.1961849712154,32.8257687346933,92.52432750704645
49,759,66,304.2736250597879,1214.853039944978,34.929661044654395,98.40178152709292
50,785,70,314.5481226037553,1255.6725322552052,37.07465630646374,104.39896463596477
51,810,74,324.8343618477793,1296.6174530920105,39.25519754076217,110.50095124860081
52,836,79,335.12819355885455,1337.6502846641063,41.46548672558111,116.69183585273555
53,862,83,345.42540531744567,1378.7333366856294,43.699512249458515,122.95480824212837
54,887,87,355.7216682562357,1419.8288779688776,45.95107467988858,129.27224075516392
55,913,91,366.01249001942995,1460.8992623630515,48.21381113808152,135.62578648209322
56,939,96,376.29317435598614,1501.9070483990379,50.48121874475615,141.9964871268385
57,964,100,386.5587876412692,1542.8151121166152,52.74667772032472,148.36488899420098
58,990,104,396.8041325077853,1583.5867526625352,55.00347478214117,154.7111654259284
59,1015,109,407.02372865731786,1624.1857903552961,57.244827481656664,161.01524393035726
60,1040,113,417.21180082448586,1664.5766570146568,59.463910069388035,167.2569362372265
61,1066,117,427.36227376561055,1704.7244784508875,61.65388137299986,173.41606955522553
62,1091,121,437.46877405755106,1744.5951490995262,63.80791503324159,179.47261740598626
63,1115,125,447.5246384088614,1784.1553988723354,65.91923227545514,185.4068285436196
64,1140,129,457.5229281111016,1823.372852373026,67.98113721301438,191.19935263196948
65,1164,133,467.4564491914192,1862.2160806971797,69.9870544955695,196.83136153056182
66,1188,137,477.3177777691351,1900.6546460994375,71.9305689407277,202.28466522355626
67,1212,140,487.099290069585,1938.659139866223,73.8054666328504,207.5418216038269
68,1236,144,496.79319650782475,1976.2012137798802,75.60577684520699,212.58623948816256
69,1259,147,506.39157922337506,2013.253605598792,77.32581404776333,217.40227438320704
70,1282,150,515.8864324254824,2049.7901590083843,78.96021920603869,221.97531664094947
71,1305,153,525.2697048956098,2085.785838519335,80.50399955795282,226.29187173551477
72,1327,156,534.5333439908933,2121.216739802446,81.95256607426033,230.33963245992982
73,1349,158,543.6693404983387,2156.060095953676,83.30176786090927,234.1075428846911
74,1371,161,552.6697737043149,2190.2942801793497,84.5479228435396,237.5858539431415
75,1392,163,561.5268560673044,2223.898805379682,85.68784417924866,240.76617051679403
76,1413,165,570.2329769127723,2256.854321090103,86.71886196173277,243.64148989250873
77,1433,166,578.7807446075008,2289.1426082141465,87.63883991578986,246.20623145864022
