,$\beta_1$,$\beta_2$,$\beta_3$,$\beta_4$
815,0.304192583960993,0.033102505006836265,0.10888945648346923,0.000774210521676145
816,0.30562083466122736,0.03357387490155557,0.10960861778673037,0.000745363147086767
817,0.30605301253959755,0.03336617208488238,0.10895997914353964,0.0007734075921298715
818,0.3057032883848484,0.033237493866853006,0.1088517916363905,0.0007733981194613385
819,0.3085257170283284,0.033749874378862774,0.10913483431890905,0.0007673646265964054
820,0.31233705056034716,0.034300973397269376,0.10939358036212056,0.0007585893269285637
821,0.30900494431066994,0.03380231648980245,0.10930828506694594,0.0007534251882507934
822,0.30392768569638906,0.03306106960573544,0.10906798448799043,0.0007619635576061336
823,0.3065659175907625,0.033354248713419424,0.10880340804382221,0.0007767320342129001
824,0.30962638106872015,0.033930000978846624,0.10935541628727065,0.0007573103450656473
825,0.30652707684465275,0.03320569508868999,0.10852069269015463,0.0007876458106838772
826,0.3076876537786661,0.03365197403157905,0.1092124683555219,0.000760073494522742
827,0.3100342656216088,0.03404863639212589,0.10951656317316434,0.0007501146272412574
828,0.30631014269387347,0.03354423217645833,0.10942679149920954,0.0007502539419903973
829,0.307208847992879,0.0334085011694445,0.10866620539637611,0.0007861432850183388
830,0.3074145785808607,0.0336509622468409,0.1092959273913926,0.0007574400828093827
831,0.3069180346099984,0.03344089934127415,0.10876847967108969,0.0007823348254710621
832,0.3045476731649286,0.03323552036585667,0.10912163701576665,0.0007635507665750595
833,0.30735075199910383,0.033557779099501944,0.109094764788863,0.0007659835088129118
834,0.3089995855970464,0.03367909568122158,0.10887827874601622,0.0007749439366852068
835,0.30608698754807456,0.03313780412730509,0.10837944563581482,0.0007943340788841385
836,0.30491156388832646,0.033156528142814966,0.10873536452620484,0.0007837831610753168
837,0.30693643761944356,0.0334024090343559,0.10877585174481536,0.0007801915814047336
838,0.30774464187385164,0.03336665457965148,0.10859865136436424,0.0007812440229270207
839,0.30596670037081036,0.03342223568333106,0.10918888624639786,0.0007594556392372736
840,0.3066013307233699,0.03337978507157734,0.10884764526174338,0.0007758181019050273
841,0.3048683968169106,0.03323624543727464,0.10904694616559331,0.0007665122914509989
842,0.30441041894805465,0.03317656198775602,0.10905097016151782,0.0007668286020320596
843,0.30323423104951436,0.032977617845453264,0.10895829345180696,0.0007672903860246785
844,0.3083097409721435,0.033667387002652566,0.10912073406949258,0.0007646087050241781
